,ra,dec,z,r_cmag,r_cMag,g_cmag,g_cMag,i_cmag,i_cMag
15,0.4936709341932328,12.066117621618426,0.21127774,16.34151,-23.815123111035135,17.76588,-22.390753111035135,15.811679999999999,-24.344953111035135
16,155.2866704709054,14.767664392406068,0.24841015,17.08533,-23.467412788308735,18.79849,-21.754252788308733,16.52607,-24.026672788308733
17,142.01888052439696,20.52919699032965,0.20824991,15.9721,-24.149457728322524,17.3921,-22.729457728322522,15.43016,-24.69139772832252
18,149.9451707801509,22.40269194706308,0.25362083,16.63476,-23.96913383472659,18.167,-22.43689383472659,16.00977,-24.59412383472659
19,358.91160430600587,1.7652663574060532,0.24655814,16.91646,-23.61786407350315,18.41481,-22.11951407350315,16.36693,-24.16739407350315
20,12.771797942357352,26.287973218104238,0.24628298,17.06411,-23.4674666684883,18.5939,-21.937676668488297,16.44955,-24.0820266684883
21,139.5892214503993,61.17489721119409,0.28188804,17.02721,-23.838365283497975,18.91647,-21.949105283497975,16.455479999999998,-24.410095283497977
22,155.83671234890056,59.81103219390252,0.20253773,15.84601,-24.20807293246977,17.01323,-23.040852932469768,15.38075,-24.67333293246977
23,130.13604615299332,5.712864957495668,0.2852671,17.02988,-23.865342439082212,18.69901,-22.19621243908221,16.48214,-24.41308243908221
24,7.225206091609608,7.8350353899571274,0.27922615,17.34534,-23.496649227355995,19.23538,-21.606609227355996,16.78439,-24.057599227355997
25,233.83108140443687,34.35797233346939,0.23222087,16.661929999999998,-23.72533079190852,18.25518,-22.132080791908518,16.05421,-24.333050791908516
26,223.7784941456913,61.969403296708386,0.29094145,16.54887,-24.39541858679177,18.132270000000002,-22.81201858679177,16.03681,-24.907478586791772
27,174.74792496257106,63.589196995914705,0.21073866,16.66694,-23.48348235826739,18.13474,-22.01568235826739,16.1066,-24.04382235826739
28,143.86435120743718,7.507251447461723,0.21627316,16.69644,-23.517059233716576,18.09265,-22.120849233716577,16.15625,-24.057249233716576
29,153.7936732941738,32.53078161204653,0.29576346,17.31717,-23.668127260169673,19.04841,-21.936887260169673,16.78845,-24.196847260169672
30,183.28134052539215,34.176188198538426,0.22222151,16.71956,-23.560092163307246,18.405479999999997,-21.87417216330725,16.17411,-24.10554216330725
31,146.13846070524056,9.532386600238153,0.21521822,16.75055,-23.45104194606053,18.26669,-21.93490194606053,16.26231,-23.939281946060532
32,23.93606625352254,9.167401909532574,0.2594375,16.7062,-23.953662748666208,18.28623,-22.373632748666207,16.12924,-24.530622748666207
33,126.7398384475825,31.134689321707697,0.21097171,15.84436,-24.308749131556517,16.96744,-23.18566913155652,15.2578,-24.89530913155652
34,209.08511192062903,10.790048056077037,0.2474393,16.98401,-23.559093272603537,18.63385,-21.90925327260354,16.4394,-24.10370327260354
35,197.59249955765824,21.834899312910924,0.28008774,17.4525,-23.397146033875273,19.16376,-21.685886033875274,16.96797,-23.881676033875273
