,ra,dec,z,objID,g_mag,r_mag,i_mag,c_g2r,c_g2i,c_g2r_zref,c_g2i_zref
998,3.3241403685989894,11.871303419506726,0.28108972,1237678858473046226,19.27351,17.708082,17.173475,1.5654278,2.1000347,1.5654277801513672,2.100034713745117
999,235.33198837547093,33.72879398343933,0.2720618,1237661463302177082,19.943394,18.44224,17.933758,1.501154,2.009636,1.5011539459228516,2.0096359252929688
1000,328.85287540067077,4.461637205055893,0.29507756,1237678777927664037,19.339964,17.933027,17.372566,1.4069366,1.9673977,1.4069366455078125,1.967397689819336
1001,221.51791641271757,23.22798328802778,0.23061915,1237665549966114935,18.483738,17.141508,16.639177,1.3422298,1.8445606,1.3422298431396484,1.8445606231689453
1002,135.34412078880058,61.233841208562566,0.27650642,1237663547980447999,19.622423,18.0666,17.55416,1.5558224,2.068264,1.5558223724365234,2.0682640075683594
1003,165.2016925227785,9.127885175815647,0.26149994,1237658492272967793,19.184782,17.675144,17.128805,1.5096378,2.0559769,1.5096378326416016,2.0559768676757812
1004,201.2713315028617,11.958445223096566,0.20321003,1237671958050963625,18.316084,16.982409,16.489674,1.3336754,1.8264103,1.3336753845214844,1.8264102935791016
1005,180.59484269992666,38.837990625731834,0.29008907,1237662223529148582,19.093239,17.4957,16.952387,1.597538,2.140852,1.5975379943847656,2.1408519744873047
1006,181.80210679560372,23.247687885521906,0.25006524,1237667736118165680,19.054655,17.584293,17.064285,1.4703617,1.9903698,1.4703617095947266,1.9903697967529297
1007,333.72275727553426,26.06430184323143,0.29062656,1237680529736336038,19.16528,17.705086,17.139128,1.4601936,2.0261517,1.4601936340332031,2.026151657104492
1008,179.72178445534576,12.429578555768472,0.28578797,1237661949715415276,19.739708,18.331469,17.763365,1.4082394,1.9763432,1.4082393646240234,1.9763431549072266
1009,164.58274420287103,33.939347887547825,0.27863246,1237665017386107051,19.074211,17.526384,16.987833,1.5478268,2.086378,1.5478267669677734,2.0863780975341797
1010,350.7160314829063,1.4633031452343814,0.2904511,1237678595938910434,19.813148,18.3427,17.819283,1.4704494,1.993866,1.470449447631836,1.993865966796875
1011,34.27634303709819,-3.096618881271085,0.25671768,1237678879424970976,18.690956,17.182396,16.677036,1.5085602,2.0139198,1.5085601806640625,2.0139198303222656
1012,350.2935366013153,22.4358416119568,0.2974949,1237680298887872881,18.570955,16.977098,16.388983,1.5938568,2.1819725,1.5938568115234375,2.1819725036621094
1013,244.03677122458828,49.480592432465706,0.28877643,1237668610124087580,19.03495,17.486956,16.94477,1.5479946,2.0901794,1.547994613647461,2.090179443359375
1014,348.5740811939253,-1.0951329207925242,0.2732444,1237663275775295702,19.350662,18.02186,17.49505,1.3288021,1.8556118,1.3288021087646484,1.855611801147461
1015,225.17206610799298,36.363244876854466,0.24790472,1237662196150829179,18.991438,17.548754,17.031227,1.4426842,1.9602108,1.4426841735839844,1.9602108001708984
1016,230.23921171936138,1.8606953142871252,0.2433216,1237655469136544268,19.149988,17.66783,17.18416,1.4821587,1.965828,1.4821586608886719,1.9658279418945312
1017,11.370957000908334,8.22404149685408,0.27472112,1237669703196344506,18.683352,17.267282,16.751406,1.416069,1.9319458,1.4160690307617188,1.93194580078125
1018,176.59105176436128,40.86469118508441,0.29970086,1237664670053433558,18.779596,17.205145,16.638021,1.5744514,2.1415749,1.5744514465332031,2.1415748596191406
1019,180.08611131515028,24.249895852873987,0.23310366,1237667910591250566,18.959234,17.61687,17.11421,1.3423634,1.8450241,1.3423633575439453,1.8450241088867188
