,ra,dec,z,r_cmag,r_cMag,g_cmag,g_cMag,i_cmag,i_cMag
515,210.87800266819946,29.53913528251079,0.2635893,18.2936,-22.405509660131177,19.8731,-20.826009660131177,17.772479999999998,-22.92662966013118
516,34.65520141233845,-5.673585870263064,0.27326095,17.67719,-23.111183144361927,19.2288,-21.559573144361927,17.142879999999998,-23.64549314436193
517,202.6422986135705,18.383772942300304,0.28218138,18.639429999999997,-22.228731913218013,20.08587,-20.78229191321801,18.1492,-22.71896191321801
518,199.55911452447185,1.7132874001508496,0.22886972,17.39846,-22.953221672344135,18.99213,-21.359551672344136,16.89082,-23.460861672344134
519,204.5254910768681,5.434096008393418,0.23321575,17.33138,-23.06635228620718,18.69145,-21.70628228620718,16.855729999999998,-23.542002286207182
520,171.86969855888748,51.74177509367999,0.20286034,17.31329,-22.744650340489297,18.62264,-21.435300340489295,16.86465,-23.193290340489295
521,260.5261596532354,31.2062713259698,0.24775365,17.418689999999998,-23.12753824478081,18.79489,-21.751338244780808,16.882929999999998,-23.66329824478081
522,182.00315822024623,43.65537934863596,0.2667073,17.65406,-23.07415163718327,18.97818,-21.750031637183273,17.141820000000003,-23.58639163718327
523,141.35880677692563,60.52829283853698,0.2694301,17.61445,-23.138919966841893,18.97635,-21.777019966841895,17.08854,-23.664829966841896
524,208.9419492383284,30.953812429475235,0.21463454,17.09016,-23.10482067007963,18.467129999999997,-21.727850670079633,16.54539,-23.64959067007963
525,138.38437336397791,55.98238480836584,0.25637484,17.652829999999998,-22.977709077527873,19.17004,-21.46049907752787,17.13012,-23.50041907752787
526,200.52794064846282,49.693304340670736,0.29093048,17.71906,-23.225134581722244,19.00508,-21.939114581722244,17.21397,-23.730224581722243
527,248.79022331103417,28.45452764269146,0.26112178,17.58134,-23.094513448445834,19.13865,-21.537203448445837,17.04484,-23.631013448445835
528,246.90744291570232,22.815929125121283,0.20360596,17.39728,-22.669553965932383,18.743,-21.323833965932383,16.91355,-23.15328396593238
529,41.7607611985934,3.93332384973806,0.26307374,17.253,-23.441267154135588,18.78566,-21.908607154135588,16.72823,-23.966037154135588
530,236.6603867837624,55.158622574401846,0.28923530000000003,17.219739999999998,-23.709888756382423,18.6535,-22.27612875638242,16.71281,-24.21681875638242
531,199.69729775789241,0.680188280013069,0.22162057,16.91479,-23.358253688769555,18.2967,-21.976343688769553,16.41476,-23.858283688769554
532,130.00863625960667,31.72410403126013,0.25174755,16.9029,-23.682717025072964,18.44145,-22.144167025072964,16.40618,-24.179437025072964
533,187.86247124184246,43.055581369902036,0.29425314,17.99551,-22.977009364717173,19.61725,-21.355269364717174,17.51077,-23.46174936471717
534,14.86116990080552,31.005554046261288,0.22556464,17.753870000000003,-22.56224788236182,19.26707,-21.049047882361823,17.24546,-23.07065788236182
535,224.10433379164462,40.05863684417276,0.27422225,17.70758,-23.089505810592932,19.184279999999998,-21.612805810592935,17.21624,-23.580845810592933
536,199.05338413948826,-0.9336846051297198,0.26228583,18.36191,-22.324939637919876,19.84783,-20.83901963791988,17.87029,-22.816559637919877
537,230.7620441237157,35.09505289191501,0.2574609,17.88009,-22.760884373977905,19.34698,-21.293994373977906,17.402639999999998,-23.238334373977906
538,201.55205470854102,21.89409575303116,0.28251782,17.45139,-23.419735547710363,19.11469,-21.756435547710364,16.904429999999998,-23.966695547710366
