,ra,dec,z,objID,lg_Mstar_no-h,g-r,r-i,i_cmag,i_cMag,lg_Li
1920,193.2008409639293,4.022344965881138,0.24114603,1.237654879116919e+18,11.610649615382776,1.3807699999999983,0.5117599999999989,16.59926,-23.880499292545835,11.364199717018336
1921,352.8601837326287,0.6152512597097671,0.28329623,1.2376632779246144e+18,11.551559615382777,1.5185969999999998,0.5708030000000015,17.36978,-23.50818997912313,11.215275991649253
1922,131.47270871077552,56.19097976240418,0.25576898,1.2376609371648822e+18,11.559129615382776,1.517312999999998,0.5574650000000005,17.36329,-23.261410032124683,11.116564012849874
1923,346.920829804762,26.45976000432537,0.2888347,1.2376803026439375e+18,11.639659615382776,1.6057749999999977,0.5572400000000002,17.41187,-23.51430512911345,11.217722051645381
1924,132.01388121000272,58.16346840505553,0.24669032,1.237663546905264e+18,12.104339615382777,1.4386410000000023,0.5254519999999978,15.543029999999998,-24.992612854092307,11.809045141636924
1925,323.5252343794228,-0.5225594705273567,0.2298493,1.2376635426062994e+18,11.785019615382776,1.4548279999999991,0.5100040000000021,16.33296,-24.029171290577274,11.423668516230912
1926,8.766364302361469,5.602425317724398,0.25973523,1.2376786625015974e+18,11.491219615382777,1.4478210000000011,0.5175429999999999,17.1054,-23.5572963644658,11.234918545786321
1927,223.40811005200024,26.839611306925427,0.26921088,1.237665180061598e+18,11.728599615382777,1.4782500000000027,0.5513399999999997,16.73425,-24.017103084534273,11.41884123381371
1928,199.9166895180649,52.09900011789402,0.20406486,1.237661959367885e+18,11.549329615382776,1.3559679999999972,0.4830040000000011,16.55505,-23.517242685944208,11.218897074377685
1929,8.046732051512336,-0.6667130183636365,0.22735132,1.2376637831271547e+18,11.508789615382776,1.3989510000000003,0.5236069999999984,16.865460000000002,-23.46994240454493,11.199976961817974
1930,222.70800322795554,20.7010771363163,0.25015685,1.2376679680311299e+18,11.593059615382776,1.4518169999999984,0.5149609999999996,16.86532,-23.7046786199936,11.293871447997441
1931,169.40841369100178,20.46385565777307,0.21571566,1.2376679170245921e+18,11.533189615382776,1.3771330000000006,0.5058899999999973,16.707710000000002,-23.49950333558434,11.211801334233737
1932,125.34317637532764,56.304020445253144,0.2833659,1.2376637868839406e+18,11.639269615382776,1.6842690000000005,0.5245519999999964,17.4079,-23.47068173190753,11.200272692763013
1933,189.24366802684224,14.695224145852402,0.24278261,1.237661069265011e+18,11.475769615382777,1.415777000000002,0.5178930000000008,17.00816,-23.488217290214585,11.207286916085835
1934,234.14808816219085,-1.322753843877725,0.27430966,1.2376554992146844e+18,11.515729615382776,1.4537809999999993,0.5615020000000008,17.475270000000002,-23.32260664935361,11.141042659741444
1935,192.7744073877409,9.438162224709243,0.25600576,1.2376622369328988e+18,11.961779615382776,1.4794750000000008,0.5093270000000008,15.98011,-24.646873541238413,11.670749416495367
1936,189.74505371724774,26.503943030616487,0.2706645,1.237667441899209e+18,11.858569615382777,1.5089439999999996,0.5496799999999986,16.44209,-24.322608654602032,11.541043461840815
1937,121.7392880717392,29.085668621400078,0.22113374,1.2376577739255322e+18,11.564409615382777,1.409275000000001,0.5128899999999987,16.7862,-23.481477933245696,11.20459117329828
1938,186.79873098268936,3.866983042204197,0.23330050000000002,1.237655123936543e+18,11.842839615382777,1.446793000000003,0.5335679999999989,16.23209,-24.166532407681107,11.478612963072443
1939,211.16257458374764,65.14778885306008,0.26598096,1.237651538716918e+18,11.508359615382776,1.5386740000000003,0.5440110000000011,17.36429,-23.357170403730212,11.154868161492086
1940,137.37701803829424,10.005848814193538,0.2861634,1.2376610692427942e+18,11.615609615382777,1.623345999999998,0.6075230000000005,17.59985,-23.30318214918741,11.133272859674966
1941,241.2523777018769,29.035915425422512,0.27506593,1.2376626411944018e+18,11.583069615382776,1.5733759999999997,0.5973240000000004,17.51055,-23.294159306612286,11.129663722644915
1942,187.17113817573122,26.733180085015988,0.21404476,1.237667322184139e+18,11.521189615382777,1.3080190000000016,0.4656300000000009,16.44762,-23.7406634135483,11.308265365419322
1943,141.56335366612734,16.853524236730184,0.22012746,1.23766778281676e+18,11.572329615382776,1.3924489999999992,0.5269709999999996,16.7236,-23.532952243560768,11.225180897424309
1944,224.7271037559416,16.7214597059974,0.22227411,1.237667733988508e+18,11.537219615382776,1.365587999999999,0.49693300000000207,16.62927,-23.65095981478857,11.27238392591543
1945,337.96067083598837,3.9080630328646255,0.29706004,1.2376787768578542e+18,11.501159615382777,1.6899479999999976,0.5806540000000027,18.13631,-22.85990902260313,10.955963609041254
1946,144.7386925840359,9.516228074638146,0.27698648,1.2376610649510382e+18,11.532499615382777,1.4717979999999997,0.5206620000000015,17.059279999999998,-23.762703464792814,11.317081385917128
1947,331.17251222902894,9.471898155273395,0.2583757,1.237678856311669e+18,11.540719615382777,1.5323100000000025,0.5115419999999986,17.27143,-23.378302733528496,11.1633210934114
1948,170.4803252450235,10.823111519154947,0.24614722,1.2376606155845796e+18,11.697149615382777,1.4461130000000004,0.5752399999999973,16.7157,-23.814520096245108,11.337808038498045
1949,3.2552968442997785,29.783018433942672,0.27178574,1.2376804824899914e+18,11.843419615382777,1.492884,0.5652250000000016,16.56055,-24.2143976777202,11.497759071088081
1950,234.24024011845046,2.6487258855181475,0.28330407,1.2376554702120553e+18,11.585789615382776,1.5894920000000035,0.5325160000000011,17.34541,-23.53262882688314,11.225051530753257
1951,29.38422400596409,16.567840726970243,0.23295781,1.2376791693085245e+18,11.738699615382776,1.4499610000000018,0.5426979999999979,16.51962,-23.875401329618487,11.362160531847396
