#Table1
ra,dec,u,g,r,i,z,type,psffwhm_u,psffwhm_g,psffwhm_r,psffwhm_i,psffwhm_z,flags,Column1
201.285859985348,48.690796137445,14.81703,12.18655,11.81004,11.6638,12.6006,6,1.49387,1.146823,1.227196,1.045151,1.137888,453078583480330,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP INTERP_CENTER SATUR_CENTER DEBLEND_UNASSIGNED_FLUX STATIONARY NODEBLEND_MOVING MOVED BINNED1 DEBLEND_PRUNED SATURATED INTERP COSMIC_RAY BLENDED BRIGHT 
201.28586547828,48.6907943653427,14.69229,12.19985,11.81538,11.6803,12.56324,6,1.493769,1.147098,1.229085,1.045726,1.138619,448682148630536,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP INTERP_CENTER SATUR_CENTER STATIONARY NODEBLEND_MOVING MOVED BINNED4 BINNED2 BINNED1 DEBLEND_PRUNED SUBTRACTED SATURATED INTERP COSMIC_RAY BLENDED 
201.407235616155,48.9629255531543,14.73212,12.26229,11.81608,11.64686,12.93317,6,1.841532,1.626853,1.418054,1.423967,1.38375,453078516367882,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP INTERP_CENTER SATUR_CENTER DEBLEND_UNASSIGNED_FLUX STATIONARY NODEBLEND_MOVING MOVED BINNED1 SATURATED INTERP MANYPETRO BLENDED BRIGHT 
201.407256147365,48.9629236410624,14.57555,12.267,11.82072,11.67287,12.75334,6,1.841588,1.627075,1.418136,1.424137,1.385712,448680538018312,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP INTERP_CENTER SATUR_CENTER STATIONARY NODEBLEND_MOVING MOVED BINNED1 DEBLEND_PRUNED SUBTRACTED SATURATED INTERP COSMIC_RAY MANYPETRO BLENDED 
201.407256147364,48.9629236410645,14.56664,12.26565,11.82091,11.67406,12.74353,6,1.841588,1.627075,1.418136,1.424137,1.385712,483856286617616,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP DEBLENDED_AT_EDGE INTERP_CENTER SATUR_CENTER STATIONARY MOVED BINNED1 DEBLENDED_AS_PSF SUBTRACTED SATURATED INTERP COSMIC_RAY CHILD 
201.407235601189,48.9629255462297,14.71883,12.28154,11.82235,11.65692,12.91791,6,1.841532,1.626853,1.418054,1.423967,1.38375,483856252011026,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP DEBLENDED_AT_EDGE INTERP_CENTER SATUR_CENTER STATIONARY MOVED BINNED1 SATURATED INTERP MANYPETRO CHILD BRIGHT 
201.285860147437,48.6907962067524,14.49317,16.38583,11.83843,11.69613,12.47257,6,1.49387,1.146823,1.227196,1.045151,1.137888,483856285569042,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP DEBLENDED_AT_EDGE INTERP_CENTER SATUR_CENTER STATIONARY MOVED BINNED1 DEBLENDED_AS_PSF SATURATED INTERP COSMIC_RAY CHILD BRIGHT 
201.285865559708,48.6907943941099,14.14488,12.22076,11.85016,11.72075,12.27195,6,1.493769,1.147098,1.229085,1.045726,1.138619,483856286617616,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP DEBLENDED_AT_EDGE INTERP_CENTER SATUR_CENTER STATIONARY MOVED BINNED1 DEBLENDED_AS_PSF SUBTRACTED SATURATED INTERP COSMIC_RAY CHILD 
201.56724394844,48.854192712208,14.56292,12.14259,11.88872,11.74072,12.88431,6,1.880075,1.591066,1.588552,1.437998,1.39108,448680536969802,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP INTERP_CENTER SATUR_CENTER STATIONARY NODEBLEND_MOVING MOVED BINNED1 DEBLEND_PRUNED SATURATED INTERP COSMIC_RAY MANYPETRO NODEBLEND BLENDED BRIGHT 
201.198542884966,48.4534469587456,14.74421,12.55778,12.13023,11.98463,13.07863,6,1.845299,1.648956,1.436774,1.422857,1.360288,448680536969802,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP INTERP_CENTER SATUR_CENTER STATIONARY NODEBLEND_MOVING MOVED BINNED1 DEBLEND_PRUNED SATURATED INTERP COSMIC_RAY MANYPETRO NODEBLEND BLENDED BRIGHT 
